хуфз,╧иф╠╢ЗбК,цШЁф,йуел╪ш,вН╦ъ╪ш,вН╣м╪ш,©╙ел╪ш,г╟йуел,уг╣Ь╤Н,уг╣Ь╥Ы,╩╩йжбй,Ёи╫╩а©,Ёи╫╩╫П╤Н,вэйпж╣,аВм╗йпж╣
2018-04-13,'002817,╩фи╫╫╨др,28.52,29.28,28.48,28.72,28.81,-0.29,-1.0066,2.6818,1114000,32026652.0,2471828400.0,1184720800.0
2018-04-12,'002817,╩фи╫╫╨др,28.81,29.74,28.8,29.05,29.55,-0.74,-2.5042,3.2164,1336100,39097122.0,2496962700.0,1196767400.0
2018-04-11,'002817,╩фи╫╫╨др,29.55,30.07,29.4,29.55,30.47,-0.92,-3.0194,6.1322,2547312,75673153.5,2561098500.0,1227507000.0
2018-04-10,'002817,╩фи╫╫╨др,30.47,30.5,28.2,28.9,28.68,1.79,6.2413,11.7141,4866030,143580101.14,2640834900.0,1265723800.0
2018-04-09,'002817,╩фи╫╫╨др,28.68,29.3,27.41,27.45,27.71,0.97,3.5005,4.5893,1906399,54535840.58,2485695600.0,1191367200.0
2018-04-04,'002817,╩фи╫╫╨др,27.71,28.58,27.7,27.9,27.59,0.12,0.4349,4.0669,1689399,47729475.4,2401625700.0,1151073400.0
2018-04-03,'002817,╩фи╫╫╨др,27.59,27.65,26.41,26.89,27.24,0.35,1.2849,2.103,873600,23765573.0,2391225300.0,1146088600.0
2018-04-02,'002817,╩фи╫╫╨др,27.24,27.69,26.8,26.9,27.0,0.24,0.8889,1.7506,727217,19808191.25,2360890800.0,1131549600.0
2018-03-30,'002817,╩фи╫╫╨др,27.0,27.18,26.66,26.66,26.61,0.39,1.4656,2.0369,846147,22796468.57,2340090000.0,1121580000.0
2018-03-29,'002817,╩фи╫╫╨др,26.61,27.28,26.01,26.01,26.08,0.53,2.0322,1.908,792586,21259103.74,2306288700.0,1105379400.0
2018-03-28,'002817,╩фи╫╫╨др,26.08,26.73,25.6,25.98,26.2,-0.12,-0.458,1.3345,554351,14600722.31,2260353600.0,1083363200.0
2018-03-27,'002817,╩фи╫╫╨др,26.2,26.35,25.68,25.85,25.63,0.57,2.224,1.2951,538000,14044122.0,2270754000.0,1088348000.0
2018-03-26,'002817,╩фи╫╫╨др,25.63,25.89,24.43,25.0,25.18,0.45,1.7871,1.5643,649815,16348625.9,2221352100.0,1064670200.0
2018-03-23,'002817,╩фи╫╫╨др,25.18,26.87,25.0,26.7,27.47,-2.29,-8.3364,2.1615,897876,23274507.52,2182350600.0,1045977200.0
2018-03-22,'002817,╩фи╫╫╨др,27.47,27.75,27.03,27.54,27.54,-0.07,-0.2542,1.7228,715651,19561157.04,2380824900.0,1141103800.0
2018-03-21,'002817,╩фи╫╫╨др,27.54,28.4,25.7,28.21,28.44,-0.9,-3.1646,3.0842,1281195,35817740.86,2386891800.0,1144011600.0
2018-03-20,'002817,╩фи╫╫╨др,28.44,28.45,26.8,26.8,27.08,1.36,5.0222,5.2871,2196247,61555724.74,2464894800.0,1181397600.0
2018-03-19,'002817,╩фи╫╫╨др,27.08,27.19,26.58,26.76,26.76,0.32,1.1958,0.8145,338334,9131005.34,2347023600.0,1124903200.0
2018-03-16,'002817,╩фи╫╫╨др,26.76,26.94,26.6,26.6,26.76,0.0,0.0,0.7269,301939,8089409.2,2319289200.0,1111610400.0
2018-03-15,'002817,╩фи╫╫╨др,26.76,27.65,26.5,27.5,27.78,-1.02,-3.6717,2.0705,860083,23198080.65,2319289200.0,1111610400.0
2018-03-14,'002817,╩фи╫╫╨др,27.78,28.18,27.53,28.18,28.18,-0.4,-1.4194,1.7693,734951,20487282.28,2407692600.0,1153981200.0
2018-03-13,'002817,╩фи╫╫╨др,28.18,28.55,28.0,28.5,28.55,-0.37,-1.296,1.4877,618000,17531180.74,2442360600.0,1170597200.0
2018-03-12,'002817,╩фи╫╫╨др,28.55,28.59,28.32,28.32,28.59,-0.04,-0.1399,2.2884,950582,27043160.16,2474428500.0,1185967000.0
2018-03-09,'002817,╩фи╫╫╨др,28.59,29.5,27.65,27.99,28.0,0.59,2.1071,3.8754,1609835,45730382.86,2477895300.0,1187628600.0
2018-03-08,'002817,╩фи╫╫╨др,28.0,28.2,27.3,27.3,27.44,0.56,2.0408,1.1183,464530,12942032.43,2426760000.0,1163120000.0
2018-03-07,'002817,╩фи╫╫╨др,27.44,28.2,27.44,28.0,27.85,-0.41,-1.4722,0.9011,374300,10379428.0,2378224800.0,1139857600.0
2018-03-06,'002817,╩фи╫╫╨др,27.85,28.15,27.79,28.15,28.05,-0.2,-0.713,0.9085,377400,10550607.0,2413759500.0,1156889000.0
2018-03-05,'002817,╩фи╫╫╨др,28.05,28.15,27.87,28.0,28.0,0.05,0.1786,0.4049,168200,4708368.0,2431093500.0,1165197000.0
2018-03-02,'002817,╩фи╫╫╨др,28.0,28.4,27.74,28.0,28.0,0.0,0.0,0.6667,276956,7764780.68,2426760000.0,1163120000.0
2018-03-01,'002817,╩фи╫╫╨др,28.0,28.18,27.36,27.45,27.43,0.57,2.078,0.903,375100,10488420.0,2426760000.0,1163120000.0
2018-02-28,'002817,╩фи╫╫╨др,27.43,27.76,27.36,27.76,27.64,-0.21,-0.7598,0.5392,224000,6168082.61,2377358100.0,1139442200.0
2018-02-27,'002817,╩фи╫╫╨др,27.64,27.98,27.13,27.13,27.4,0.24,0.8759,0.8371,347717,9601943.99,2395558800.0,1148165600.0
2018-02-26,'002817,╩фи╫╫╨др,27.4,27.43,26.8,26.8,26.83,0.57,2.1245,0.8707,361700,9856818.0,2374758000.0,1138196000.0
2018-02-23,'002817,╩фи╫╫╨др,26.83,26.98,26.57,26.57,26.8,0.03,0.1119,0.2362,98100,2630694.0,2325356100.0,1114518200.0
2018-02-22,'002817,╩фи╫╫╨др,26.8,26.91,26.59,26.64,26.57,0.23,0.8656,0.2699,112100,3003839.0,2322756000.0,1113272000.0
2018-02-14,'002817,╩фи╫╫╨др,26.57,26.62,26.35,26.54,26.6,-0.03,-0.1128,0.2691,111800,2961225.0,2302821900.0,1103717800.0
2018-02-13,'002817,╩фи╫╫╨др,26.6,27.48,26.6,27.0,27.04,-0.44,-1.6272,0.5849,242956,6518569.56,2305422000.0,1104964000.0
2018-02-12,'002817,╩фи╫╫╨др,27.04,27.76,26.0,26.64,26.15,0.89,3.4034,0.8,332300,8932303.0,2343556800.0,1123241600.0
2018-02-09,'002817,╩фи╫╫╨др,26.15,26.5,25.53,25.9,26.71,-0.56,-2.0966,0.5188,215500,5609995.0,2266420500.0,1086271000.0
2018-02-08,'002817,╩фи╫╫╨др,26.71,26.87,26.41,26.84,26.7,0.01,0.0375,0.3837,159400,4258869.0,2314955700.0,1109533400.0
2018-02-07,'002817,╩фи╫╫╨др,26.7,27.16,26.01,27.14,26.41,0.29,1.0981,0.5908,245400,6531267.0,2314089000.0,1109118000.0
2018-02-06,'002817,╩фи╫╫╨др,26.41,27.5,26.41,27.18,27.97,-1.56,-5.5774,0.742,308239,8277671.09,2288954700.0,1097071400.0
2018-02-05,'002817,╩фи╫╫╨др,27.97,28.17,26.5,28.17,28.19,-0.22,-0.7804,0.8941,371420,10175925.0,2424159900.0,1161873800.0
2018-02-02,'002817,╩фи╫╫╨др,28.19,28.19,27.37,27.98,27.98,0.21,0.7505,0.7465,310100,8618789.6,2443227300.0,1171012600.0
2018-02-01,'002817,╩фи╫╫╨др,27.98,30.14,27.98,29.88,29.87,-1.89,-6.3274,1.6516,686076,19599086.72,2425026600.0,1162289200.0
2018-01-31,'002817,╩фи╫╫╨др,29.87,30.93,29.65,30.87,31.05,-1.18,-3.8003,1.3758,571500,17311624.0,2588832900.0,1240799800.0
2018-01-30,'002817,╩фи╫╫╨др,31.05,31.3,30.86,31.14,31.18,-0.13,-0.4169,0.8376,347939,10812834.78,2691103500.0,1289817000.0
2018-01-29,'002817,╩фи╫╫╨др,31.18,31.46,30.81,31.2,31.4,-0.22,-0.7006,1.283,532939,16592115.02,2702370600.0,1295217200.0
2018-01-26,'002817,╩фи╫╫╨др,31.4,31.68,31.3,31.63,31.64,-0.24,-0.7585,1.3063,542645,17103511.12,2721438000.0,1304356000.0
2018-01-25,'002817,╩фи╫╫╨др,31.64,31.83,31.54,31.73,31.72,-0.08,-0.2522,1.2601,523428,16578552.42,2742238800.0,1314325600.0
2018-01-24,'002817,╩фи╫╫╨др,31.72,31.85,31.45,31.77,31.7,0.02,0.0631,1.2566,522000,16545363.66,2749172400.0,1317648800.0
2018-01-23,'002817,╩фи╫╫╨др,31.7,31.9,31.51,31.78,31.91,-0.21,-0.6581,1.5628,649178,20548602.78,2747439000.0,1316818000.0
2018-01-22,'002817,╩фи╫╫╨др,31.91,32.0,31.01,31.24,31.24,0.67,2.1447,3.2322,1342639,42458296.56,2765639700.0,1325541400.0
2018-01-19,'002817,╩фи╫╫╨др,31.24,31.95,30.91,31.95,31.7,-0.46,-1.4511,1.8808,781300,24557078.31,2707570800.0,1297709600.0
2018-01-18,'002817,╩фи╫╫╨др,31.7,32.03,31.6,31.72,31.83,-0.13,-0.4084,1.6863,700498,22248757.69,2747439000.0,1316818000.0
2018-01-17,'002817,╩фи╫╫╨др,31.83,32.2,31.15,31.37,31.4,0.43,1.3694,3.7429,1554806,49200768.27,2758706100.0,1322218200.0
2018-01-16,'002817,╩фи╫╫╨др,31.4,31.5,30.82,30.82,31.1,0.3,0.9646,2.1605,897474,28097039.24,2721438000.0,1304356000.0
2018-01-15,'002817,╩фи╫╫╨др,31.1,31.33,30.7,30.95,31.1,0.0,0.0,1.9761,820879,25474683.51,2695437000.0,1291894000.0
2018-01-12,'002817,╩фи╫╫╨др,31.1,31.21,30.83,31.11,31.1,0.0,0.0,1.1301,469439,14564387.22,2695437000.0,1291894000.0
2018-01-11,'002817,╩фи╫╫╨др,31.1,31.35,30.62,30.69,30.89,0.21,0.6798,1.4445,600045,18639885.51,2695437000.0,1291894000.0
